"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2026","6,200.0","6,300.0","6,300.0","6,200.0","10.93K","-1.59%"
"05/14/2026","6,300.0","6,300.0","6,330.0","6,220.0","85.22K","-0.47%"
"05/13/2026","6,330.0","6,290.0","6,330.0","6,290.0","11.87K","-0.31%"
"05/12/2026","6,350.0","6,200.0","6,350.0","6,100.0","5.33K","-0.47%"
"05/11/2026","6,380.0","6,230.0","6,400.0","6,230.0","15.96K","-0.93%"
"05/08/2026","6,440.0","6,300.0","6,450.0","6,300.0","23.63K","2.22%"
"05/07/2026","6,300.0","6,400.0","6,400.0","6,250.0","34.29K","0.00%"
"05/06/2026","6,300.0","6,300.0","6,300.0","6,280.0","24.03K","0.00%"
"05/05/2026","6,300.0","6,340.0","6,340.0","6,280.0","18.77K","1.12%"
"05/04/2026","6,230.0","6,350.0","6,400.0","6,200.0","38.41K","-1.42%"
"04/30/2026","6,320.0","6,320.0","6,320.0","6,290.0","8.30K","-0.32%"
"04/29/2026","6,340.0","6,280.0","6,450.0","6,280.0","46.22K","0.32%"
"04/28/2026","6,320.0","6,470.0","6,520.0","6,200.0","207.18K","-2.92%"
"04/27/2026","6,510.0","6,700.0","6,700.0","6,480.0","21.47K","-1.36%"
"04/24/2026","6,600.0","6,560.0","6,600.0","6,550.0","7.02K","-0.90%"
"04/23/2026","6,660.0","6,660.0","6,660.0","6,660.0","1.47K","0.00%"
"04/22/2026","6,660.0","6,690.0","6,690.0","6,640.0","13.28K","-0.45%"
"04/21/2026","6,690.0","6,520.0","6,690.0","6,520.0","21.74K","0.00%"
"04/20/2026","6,690.0","6,650.0","6,710.0","6,510.0","33.66K","0.60%"
"04/17/2026","6,650.0","6,550.0","6,700.0","6,550.0","28.70K","1.53%"
"04/16/2026","6,550.0","6,690.0","6,690.0","6,550.0","36.72K","-2.09%"
"04/15/2026","6,690.0","6,690.0","6,700.0","6,520.0","34.86K","1.36%"
"04/14/2026","6,600.0","6,680.0","6,680.0","6,500.0","22.99K","-0.75%"
"04/13/2026","6,650.0","6,600.0","6,670.0","6,600.0","25.55K","0.00%"
"04/10/2026","6,650.0","6,670.0","6,680.0","6,600.0","28.62K","0.91%"
"04/09/2026","6,590.0","6,550.0","6,600.0","6,550.0","22.01K","0.76%"
"04/08/2026","6,540.0","6,590.0","6,600.0","6,540.0","21.55K","-1.80%"
"04/07/2026","6,660.0","6,540.0","6,690.0","6,540.0","14.26K","0.45%"
"04/06/2026","6,630.0","6,630.0","6,640.0","6,630.0","13.64K","1.84%"
"04/01/2026","6,510.0","6,420.0","6,660.0","6,420.0","6.20K","-0.61%"
"03/31/2026","6,550.0","6,550.0","6,550.0","6,550.0","3.32K","-0.76%"
"03/30/2026","6,600.0","6,040.0","6,850.0","6,040.0","9.17K","-1.49%"
"03/27/2026","6,700.0","6,640.0","6,700.0","6,590.0","41.23K","-0.45%"
"03/26/2026","6,730.0","6,700.0","6,730.0","6,700.0","12.53K","1.20%"
"03/25/2026","6,650.0","6,570.0","6,740.0","6,570.0","30.52K","-0.75%"
"03/24/2026","6,700.0","6,650.0","6,700.0","6,650.0","33.07K","-1.47%"
"03/20/2026","6,800.0","6,740.0","6,800.0","6,700.0","2.01M","1.49%"
"03/19/2026","6,700.0","6,700.0","6,700.0","6,700.0","48.46K","0.00%"
"03/18/2026","6,700.0","6,700.0","6,700.0","6,700.0","1.52M","0.00%"
"03/17/2026","6,700.0","6,700.0","6,700.0","6,540.0","21.29K","0.75%"
"03/16/2026","6,650.0","6,700.0","6,700.0","6,650.0","54.50K","4.23%"
"03/13/2026","6,380.0","6,530.0","6,530.0","6,380.0","27.31K","-4.06%"
"03/12/2026","6,650.0","6,680.0","6,680.0","6,600.0","33.86K","-1.63%"
"03/11/2026","6,760.0","6,670.0","6,760.0","6,650.0","58.64K","1.65%"
"03/10/2026","6,650.0","6,650.0","6,650.0","6,650.0","14.18K","2.31%"
"03/09/2026","6,500.0","6,550.0","6,550.0","6,500.0","32.14K","1.56%"
"03/06/2026","6,400.0","6,400.0","6,400.0","6,400.0","14.06K","-2.14%"
"03/05/2026","6,540.0","6,550.0","6,550.0","6,500.0","25.31K","-0.15%"
"03/04/2026","6,550.0","6,420.0","6,550.0","6,420.0","38.01K","8.26%"
"03/03/2026","6,050.0","6,200.0","6,200.0","5,890.0","104.99K","-3.04%"
"03/02/2026","6,240.0","6,390.0","6,390.0","6,220.0","73.32K","-2.50%"
"02/27/2026","6,400.0","6,390.0","6,400.0","6,250.0","57.63K","0.79%"
"02/26/2026","6,350.0","6,480.0","6,480.0","6,350.0","67.60K","-1.85%"
"02/25/2026","6,470.0","6,510.0","6,510.0","6,470.0","39.95K","-0.46%"
"02/24/2026","6,500.0","6,590.0","6,590.0","6,500.0","29.19K","0.00%"
"02/23/2026","6,500.0","6,590.0","6,590.0","6,500.0","24.78K","-1.52%"
"02/20/2026","6,600.0","6,560.0","6,600.0","6,540.0","31.63K","0.00%"
"02/19/2026","6,600.0","6,630.0","6,640.0","6,600.0","24.11K","-0.75%"
"02/18/2026","6,650.0","6,660.0","6,660.0","6,600.0","21.27K","0.00%"
"02/17/2026","6,650.0","6,600.0","6,650.0","6,600.0","34.90K","0.91%"
"02/16/2026","6,590.0","6,610.0","6,610.0","6,320.0","113.31K","-1.35%"
"02/13/2026","6,680.0","6,680.0","6,680.0","6,670.0","22.15K","0.45%"
"02/12/2026","6,650.0","6,650.0","6,680.0","6,590.0","84.86K","-0.60%"
"02/11/2026","6,690.0","6,700.0","6,700.0","6,680.0","27.81K","-0.15%"
"02/10/2026","6,700.0","6,740.0","6,740.0","6,700.0","12.56K","-0.59%"
"02/09/2026","6,740.0","6,740.0","6,750.0","6,660.0","54.23K","0.00%"
"02/06/2026","6,740.0","6,700.0","6,740.0","6,590.0","21.22K","2.43%"
"02/05/2026","6,580.0","6,650.0","6,700.0","6,550.0","42.99K","-2.52%"
"02/04/2026","6,750.0","6,860.0","6,920.0","6,560.0","74.21K","0.15%"
"02/03/2026","6,740.0","6,820.0","6,820.0","6,740.0","25.75K","-1.17%"
"02/02/2026","6,820.0","6,730.0","6,820.0","6,720.0","67.49K","-0.87%"
"01/30/2026","6,880.0","6,930.0","7,000.0","6,750.0","92.80K","0.73%"
"01/29/2026","6,830.0","6,840.0","6,850.0","6,740.0","60.60K","0.15%"
"01/28/2026","6,820.0","6,820.0","6,880.0","6,790.0","1.14M","0.00%"
"01/27/2026","6,820.0","6,850.0","6,880.0","6,820.0","191.30K","-0.44%"
"01/26/2026","6,850.0","6,850.0","6,870.0","6,790.0","141.37K","0.88%"
"01/23/2026","6,790.0","6,730.0","6,790.0","6,700.0","46.83K","1.49%"
"01/22/2026","6,690.0","6,750.0","6,770.0","6,650.0","76.68K","-0.89%"
"01/21/2026","6,750.0","6,630.0","6,800.0","6,630.0","381.38K","2.12%"
"01/20/2026","6,610.0","6,550.0","6,630.0","6,530.0","548.10K","1.69%"
"01/19/2026","6,500.0","6,450.0","6,540.0","6,450.0","440.77K","1.56%"
"01/16/2026","6,400.0","6,400.0","6,430.0","6,400.0","248.07K","0.31%"
"01/15/2026","6,380.0","6,350.0","6,380.0","6,350.0","34.78K","0.00%"
"01/14/2026","6,380.0","6,420.0","6,430.0","6,380.0","93.26K","-0.31%"
"01/13/2026","6,400.0","6,450.0","6,450.0","6,400.0","78.30K","-0.78%"
"01/09/2026","6,450.0","6,480.0","6,480.0","6,450.0","12.93K","0.47%"
"01/08/2026","6,420.0","6,420.0","6,420.0","6,420.0","9.66K","0.31%"
"01/07/2026","6,400.0","6,420.0","6,420.0","6,380.0","48.73K","-0.47%"
"01/06/2026","6,430.0","6,400.0","6,450.0","6,400.0","91.22K","0.47%"
"01/05/2026","6,400.0","6,470.0","6,470.0","6,400.0","148.62K","-1.08%"
"01/02/2026","6,470.0","6,350.0","6,470.0","6,350.0","16.22K","2.05%"
"12/30/2025","6,340.0","6,390.0","6,390.0","6,310.0","25.41K","-1.71%"
"12/29/2025","6,450.0","6,450.0","6,450.0","6,450.0","5.10K","0.00%"
"12/26/2025","6,450.0","6,440.0","6,450.0","6,440.0","69.00K","0.00%"
"12/24/2025","6,450.0","6,340.0","6,450.0","6,250.0","56.25K","0.00%"
"12/23/2025","6,450.0","6,450.0","6,480.0","6,400.0","158.96K","-0.31%"
"12/22/2025","6,470.0","6,290.0","6,470.0","6,290.0","36.28K","-1.22%"
"12/19/2025","6,550.0","6,330.0","6,550.0","6,260.0","171.56K","3.31%"
"12/18/2025","6,340.0","6,350.0","6,350.0","6,300.0","40.89K","-0.78%"
"12/17/2025","6,390.0","6,300.0","6,390.0","6,300.0","51.94K","-1.54%"
"12/16/2025","6,490.0","6,540.0","6,550.0","6,490.0","65.67K","-0.61%"